run_id,scenario,param,value,workers,rep,throughput_rps,avg_latency_ms,total_input_rows,n_nonempty_batches,sum_trigger_ms_nonempty
A_cores1_w1_rep1,A,cores,1,1,1,22976.9,43522.0,2000000,2,87044.0
A_cores1_w1_rep2,A,cores,1,1,2,23380.1,42771.5,2000000,2,85543.0
A_cores1_w1_rep3,A,cores,1,1,3,23916.6,41812.0,2000000,2,83624.0
A_cores2_w1_rep1,A,cores,2,1,1,32199.4,31056.5,2000000,2,62113.0
A_cores2_w1_rep2,A,cores,2,1,2,32350.9,30911.0,2000000,2,61822.0
A_cores2_w1_rep3,A,cores,2,1,3,33083.6,30226.5,2000000,2,60453.0
A_cores4_w1_rep1,A,cores,4,1,1,46337.1,21581.0,2000000,2,43162.0
A_cores4_w1_rep2,A,cores,4,1,2,46412.3,21546.0,2000000,2,43092.0
A_cores4_w1_rep3,A,cores,4,1,3,46251.3,21621.0,2000000,2,43242.0
B_workers1_w1_rep1,B,workers,1,1,1,46655.9,21433.5,2000000,2,42867.0
B_workers1_w1_rep2,B,workers,1,1,2,44543.4,22450.0,2000000,2,44900.0
B_workers1_w1_rep3,B,workers,1,1,3,47053.3,21252.5,2000000,2,42505.0
B_workers2_w2_rep1,B,workers,2,2,1,47068.8,21245.5,2000000,2,42491.0
B_workers2_w2_rep2,B,workers,2,2,2,46424.2,21540.5,2000000,2,43081.0
B_workers2_w2_rep3,B,workers,2,2,3,46032.0,21724.0,2000000,2,43448.0
B_workers3_w3_rep1,B,workers,3,3,1,42858.7,23332.5,2000000,2,46665.0
B_workers3_w3_rep2,B,workers,3,3,2,42533.3,23511.0,2000000,2,47022.0
B_workers3_w3_rep3,B,workers,3,3,3,42553.2,23500.0,2000000,2,47000.0
